date,open,high,low,close,volume
2016-01-08,195.190000,195.850000,191.580000,191.923000,209817228
2016-01-11,193.010000,193.410000,189.820000,192.110000,187941323
2016-01-12,193.820000,194.550000,191.140000,193.660800,172330490
2016-01-13,194.450000,194.860000,188.380000,188.830000,221168886
2016-01-14,189.550000,193.260000,187.660000,191.930000,240795609
2016-01-15,186.770000,188.760000,185.520000,187.810000,324846447
2016-01-19,189.960000,190.110000,186.200000,188.060000,195244373
2016-01-20,185.030000,187.495000,181.020000,185.650000,286547839
2016-01-21,186.210000,188.870000,184.640000,186.690000,195772941
2016-01-22,189.780000,190.760000,188.880000,190.520000,168319598
2016-01-25,189.920000,190.150000,187.410000,187.640000,130371686
2016-01-26,188.420000,190.530000,188.020000,190.200000,141036757
2016-01-27,189.580000,191.560000,187.060000,188.130000,185681707
2016-01-28,189.960000,190.200000,187.160000,189.110000,143798780
2016-01-29,190.020000,193.880000,189.880000,193.720800,210529336
2016-02-01,192.530000,194.580000,191.840000,193.650000,136061564
2016-02-02,191.960000,191.970000,189.540000,190.160000,182564890
2016-02-03,191.410000,191.780000,187.100000,191.300000,205054934
2016-02-04,190.710000,192.750000,189.960000,191.600000,139531794
2016-02-05,190.990000,191.669600,187.200000,187.950000,180788308
2016-02-08,185.770000,186.120000,182.800000,185.420000,191526694
2016-02-09,183.360000,186.940000,183.200000,185.430000,184513136
2016-02-10,186.410000,188.340000,185.120000,185.270000,148214057
2016-02-11,182.340000,184.100000,181.090000,182.860000,219058885
2016-02-12,184.960000,186.650000,183.960000,186.630000,127632393
2016-02-16,188.770000,189.810000,187.630000,189.780000,120250668
2016-02-17,191.160000,193.320000,191.010000,192.880000,136009496
2016-02-18,193.200000,193.270000,191.720000,192.090000,102342997
2016-02-19,191.170000,192.180000,190.450000,192.000000,114792988
2016-02-22,193.870000,194.950000,193.790000,194.780000,103640292
2016-02-23,194.000000,194.320000,192.180000,192.320000,111455289
2016-02-24,190.630000,193.530000,189.320000,193.200000,150812152
2016-02-25,193.730000,195.550000,192.830000,195.540000,110728317
2016-02-26,196.570000,196.680000,194.900000,195.089200,129833663
2016-02-29,195.110000,196.230000,193.330000,193.560000,125918102
2016-03-01,195.010000,198.210000,194.454200,198.110000,141799687
2016-03-02,197.740000,199.060000,197.250000,199.000000,102414960
2016-03-03,198.790000,199.795000,198.110000,199.775000,95172197
2016-03-04,200.010000,201.350000,199.030000,200.430000,129293601
2016-03-07,199.340000,201.070000,199.250000,200.590000,100218998
2016-03-08,199.320000,199.920000,198.210000,198.400000,123974866
2016-03-09,199.360000,199.790000,198.430000,199.380000,94801213
2016-03-10,199.960000,201.070000,197.380000,199.540000,156838697
2016-03-11,201.260000,202.810000,199.517900,202.760000,137964528
2016-03-14,202.160000,203.040000,201.770000,202.500000,73611974
